timestamp,signal,reason,rf_signal,xgb_signal,lgb_signal,confidence,atr,ema_trend,price_momentum
2026-02-23T10:06:47.642401+00:00,SELL,weekly_limit,HOLD,SELL,SELL,79.0%,519.3,,-2.70
2026-02-23T10:06:47.988084+00:00,SELL,trade_cooldown,HOLD,SELL,SELL,79.0%,519.3,,-2.70
2026-02-23T10:07:47.847044+00:00,SELL,weekly_limit,HOLD,SELL,SELL,79.0%,519.3,,-2.70
2026-02-23T10:07:48.202803+00:00,SELL,trade_cooldown,HOLD,SELL,SELL,79.0%,519.3,,-2.70
2026-02-23T10:08:48.056911+00:00,SELL,weekly_limit,HOLD,SELL,SELL,79.0%,519.3,,-2.70
2026-02-23T10:08:48.414024+00:00,SELL,trade_cooldown,HOLD,SELL,SELL,79.0%,519.3,,-2.70
2026-02-23T10:09:48.408192+00:00,SELL,weekly_limit,HOLD,SELL,SELL,79.0%,519.3,,-2.70
2026-02-23T10:09:48.698717+00:00,SELL,trade_cooldown,HOLD,SELL,SELL,79.0%,519.3,,-2.70
2026-02-23T10:10:48.656940+00:00,BUY,weekly_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:11:48.952340+00:00,BUY,weekly_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:11:51.135417+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:12:51.353695+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:13:51.614957+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:14:51.851598+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:15:52.082810+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:16:52.284486+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:17:52.493970+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:18:52.690631+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:19:52.954514+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:20:53.168090+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:21:53.377473+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:22:53.587778+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:23:53.811458+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:24:54.018891+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:25:54.208507+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:26:54.421712+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:27:54.618656+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:28:54.851430+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:29:55.082660+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:30:55.303489+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:31:55.560295+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:32:55.773840+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:33:55.972747+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:34:56.190962+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:35:56.403162+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:36:56.609193+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:37:56.850530+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:38:57.052919+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:39:57.229767+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:40:57.395614+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
2026-02-23T10:41:57.584589+00:00,BUY,daily_limit,BUY,HOLD,BUY,61.5%,521.0,,0.62
