timestamp,signal,reason,rf_signal,xgb_signal,lgb_signal,confidence,atr,ema_trend,price_momentum
2026-02-20T15:29:20.346416+00:00,SELL,ema_trend,SELL,SELL,SELL,69.8%,120.6,UPTREND,-0.08
2026-02-20T15:30:20.599982+00:00,SELL,ema_trend,SELL,SELL,SELL,76.9%,121.8,UPTREND,0.03
2026-02-20T15:31:20.914571+00:00,SELL,ema_trend,SELL,SELL,SELL,76.9%,121.8,UPTREND,0.03
2026-02-20T15:32:21.155502+00:00,SELL,ema_trend,SELL,SELL,SELL,76.9%,121.8,UPTREND,0.03
2026-02-20T15:33:21.375535+00:00,SELL,ema_trend,SELL,SELL,SELL,76.9%,121.8,UPTREND,0.03
2026-02-20T15:34:21.632513+00:00,SELL,ema_trend,SELL,SELL,SELL,76.9%,121.8,UPTREND,0.03
2026-02-20T15:35:21.868195+00:00,SELL,ema_trend,SELL,SELL,SELL,75.7%,119.5,UPTREND,0.09
2026-02-20T15:36:22.111907+00:00,SELL,ema_trend,SELL,SELL,SELL,75.7%,119.5,UPTREND,0.09
2026-02-20T15:37:22.376567+00:00,SELL,ema_trend,SELL,SELL,SELL,75.7%,119.5,UPTREND,0.09
2026-02-20T15:38:22.624084+00:00,SELL,ema_trend,SELL,SELL,SELL,75.7%,119.5,UPTREND,0.09
2026-02-20T15:39:22.857672+00:00,SELL,ema_trend,SELL,SELL,SELL,75.7%,119.5,UPTREND,0.09
2026-02-20T15:40:23.077527+00:00,SELL,ema_trend,SELL,SELL,SELL,69.9%,122.4,UPTREND,0.06
2026-02-20T15:41:23.316999+00:00,SELL,ema_trend,SELL,SELL,SELL,69.9%,122.4,UPTREND,0.06
2026-02-20T15:42:03.979334+00:00,SELL,ema_trend,SELL,SELL,SELL,69.9%,122.4,UPTREND,0.06
2026-02-20T15:43:05.127813+00:00,SELL,ema_trend,SELL,SELL,SELL,69.9%,122.4,UPTREND,0.06
2026-02-20T15:44:05.324417+00:00,SELL,ema_trend,SELL,SELL,SELL,69.9%,122.4,UPTREND,0.06
2026-02-20T15:45:05.566531+00:00,SELL,ema_trend,SELL,SELL,SELL,71.1%,122.1,UPTREND,-0.03
2026-02-20T15:46:05.820123+00:00,SELL,ema_trend,SELL,SELL,SELL,71.1%,122.1,UPTREND,-0.03
2026-02-20T15:46:57.714559+00:00,SELL,ema_trend,SELL,SELL,SELL,71.1%,122.1,UPTREND,-0.03
2026-02-20T15:47:58.817503+00:00,SELL,ema_trend,SELL,SELL,SELL,71.1%,122.1,UPTREND,-0.03
2026-02-20T15:48:59.097647+00:00,SELL,ema_trend,SELL,SELL,SELL,71.1%,122.1,UPTREND,-0.03
2026-02-20T15:49:59.344747+00:00,SELL,ema_trend,SELL,SELL,SELL,71.1%,122.1,UPTREND,-0.03
2026-02-20T15:50:59.580503+00:00,SELL,ema_trend,SELL,SELL,SELL,75.2%,115.1,UPTREND,-0.09
2026-02-20T15:51:59.860289+00:00,SELL,ema_trend,SELL,SELL,SELL,75.2%,115.1,UPTREND,-0.09
