timestamp,signal,confidence,rf_signal,xgb_signal,lgb_signal,executed,blocked_by,current_price,atr
2026-02-23T11:15:52.446479+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66415.43,514.1
2026-02-23T11:16:52.638713+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66432.05,514.1
2026-02-23T11:17:52.865077+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66426.57,514.1
2026-02-23T11:18:53.041169+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66428.33,514.1
2026-02-23T11:19:53.243213+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66448.93,514.1
2026-02-23T11:20:53.421052+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66507.43,514.1
2026-02-23T11:21:53.585667+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66398.41,514.1
2026-02-23T11:22:53.761257+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66352.56,514.1
2026-02-23T11:23:53.922501+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66344.02,514.1
2026-02-23T11:24:54.124404+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66328.71,514.1
2026-02-23T11:25:54.314183+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66323.92,514.1
2026-02-23T11:26:54.492624+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66332.88,514.1
2026-02-23T11:27:54.666146+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66332.48,514.1
2026-02-23T11:28:54.824492+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66335.27,514.1
2026-02-23T11:29:54.998472+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66309.78,514.1
2026-02-23T11:30:55.143148+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66279.86,514.1
2026-02-23T11:31:55.335614+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66274.74,514.1
2026-02-23T11:32:55.521768+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66299.30,514.1
2026-02-23T11:33:55.707274+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66225.74,514.1
2026-02-23T11:34:55.902503+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66279.52,514.1
2026-02-23T11:35:56.106273+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66270.15,514.1
2026-02-23T11:36:56.295511+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66205.11,514.1
2026-02-23T11:37:56.481927+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66185.24,514.1
2026-02-23T11:38:56.679207+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66168.25,514.1
2026-02-23T11:39:56.857505+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66176.14,514.1
2026-02-23T11:40:57.049746+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66173.13,514.1
2026-02-23T11:41:57.278719+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66130.45,514.1
2026-02-23T11:42:57.541742+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66134.32,514.1
2026-02-23T11:43:57.736928+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66128.86,514.1
2026-02-23T11:44:57.905696+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66130.46,514.1
2026-02-23T11:45:58.113694+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66183.00,514.1
2026-02-23T11:46:58.326975+00:00,HOLD,56.2%,HOLD,HOLD,HOLD,False,confidence_gate,66119.73,514.1
