timestamp,signal,reason,rf_signal,xgb_signal,lgb_signal,confidence,atr,ema_trend,price_momentum
2026-02-23T11:15:52.437968+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:16:52.634368+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:17:52.860721+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:18:53.036419+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:19:53.238994+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:20:53.416618+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:21:53.581438+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:22:53.757403+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:23:53.917634+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:24:54.119820+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:25:54.310296+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:26:54.488475+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:27:54.661610+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:28:54.820621+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:29:54.994017+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:30:55.139383+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:31:55.331241+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:32:55.517194+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:33:55.703516+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:34:55.897757+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:35:56.101949+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:36:56.291781+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:37:56.478236+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:38:56.675436+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:39:56.852792+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:40:57.045147+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:41:57.274935+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:42:57.538236+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:43:57.732519+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:44:57.902308+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:45:58.109506+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:46:58.321836+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:47:58.517806+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:48:58.693721+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:49:58.894456+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:50:59.089906+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:51:59.342795+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:52:59.530811+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:53:59.687700+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:54:59.872562+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:56:00.078610+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:57:00.279375+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
2026-02-23T11:58:00.429795+00:00,HOLD,confidence_gate,HOLD,HOLD,HOLD,56.2%,514.1,,
